"NumberObject";"LESHOS";"LESNICH";"KZAS";"KV";"ADMR";"AKT";"FIRMA";"EX";"VYDEL";"PL";"KZM_M1";"OZU";"POR_M3";"BON";"TL";"TUM";"GRV";"ZAPV";"XOZS";"VOZRR";"KLVOZR";"XMER1";"XMER1P";"SUX";"XMER2";"POR_M2";"GOD_R";"PNI_W";"PNI_C";"DM";"NE2A";"PTK2";"PTK1";"TIP_M3";"ZAXLO";"ZAXLL";"OPT";"PTG";"MAPINFO_ID";"XMER3";"EKS";"KRUT";"LFLAG"
21;21;1;"131802";1;"522";"14";"1";"21";22;4,00;1101;0;304110;"1À";"ÊÈÑ";"Ä2";5;"13";"16";"37";"6";0;0;;0;"100200";;;;;;;;;;;;23;78281;0;;;1
22;21;1;"131802";1;"522";"14";"1";"21";23;4,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";4;"6";"15";"43";"3";0;0;;0;"100200";;;;;;;;;;;;23;78282;0;;;1
23;21;1;"131802";1;"522";"14";"1";"21";24;11,00;1101;0;304110;"1";"ÑÍ";"Ä3";5;"31";"16";"37";"6";0;0;;0;"100200";;;;;;;;;;;;24;78283;0;;;1
24;21;1;"131802";1;"522";"14";"1";"21";25;48,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"14";"1";"29";"1";0;0;;0;;;;;;;;;;;;;23;78284;0;;;1
25;21;1;"131802";1;"522";"14";"1";"21";26;1,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78285;0;;;1
26;21;1;"131802";1;"522";"14";"1";"21";27;17,00;1101;403;304110;"1À";"ÏÀÏ";"Ñ4";3;"26";"16";"37";"3";0;0;;0;;;;;;;;;;;;;31;78286;0;;;1
27;21;1;"131802";1;"522";"14";"1";"21";28;35,00;1101;403;302600;"1";"ÏÀÏ";"Ñ4";3;"49";"14";"35";"3";1431;15;;0;;;;;;;;;;;;;30;78287;0;;;1
28;21;1;"131802";2;"522";"14";"1";"21";1;3,00;1108;0;100200;"1";"ÎÐ";"Ñ2";2;"5";"3";"29";"2";0;0;;0;;;;;;;;;;;;;23;78288;0;;;1
29;21;1;"131802";2;"522";"14";"1";"21";2;3,00;1108;0;100200;"2";"ÎÐ";"Ñ2";1;;"3";"29";"1";0;0;;0;;;;;;;;;;;;;23;78289;0;;;1
30;21;1;"131802";2;"522";"14";"1";"21";3;2,00;1101;0;100100;"1";"ÎÐ";"Â2";4;"5";"1";"29";"4";0;0;;0;;;;;;;;;;;;;23;78290;0;;;1
31;21;1;"131802";2;"522";"14";"1";"21";4;2,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";4;"4";"14";"35";"5";0;0;"5";0;"100200";;;;;;;;;"5";;;23;78291;0;;;1
32;21;1;"131802";2;"522";"14";"1";"21";5;6,00;2102;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78292;0;;;1
33;21;1;"131802";2;"522";"14";"1";"21";6;47,00;1108;0;100200;"1";"ÎÐ";"Ñ2";2;"99";"3";"29";"2";1431;20;;0;;;;;;;;;;;;;22;78293;0;;;1
34;21;1;"131802";2;"522";"14";"1";"21";7;66,00;1103;0;302600;"1";"×ÅÐ";"Ñ3";3;"123";"14";"35";"3";1431;30;;3375;"100200";;;;;;;;;;;;23;78294;0;;;1
35;21;1;"131802";2;"522";"14";"1";"21";8;6,00;1101;0;302600;"1Á";"ÑÍ";"Ä3";4;"16";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;24;78295;0;;;1
36;21;1;"131802";2;"522";"14";"1";"21";9;5,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";4;"6";"15";"43";"3";0;0;"5";0;"100200";;;;;;;;;;;;23;78296;0;;;1
37;21;1;"131802";2;"522";"14";"1";"21";10;11,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"4";"1";"29";"1";0;0;;0;;;;;;;;;;;;;23;78297;0;;;1
38;21;1;"131802";2;"522";"14";"1";"21";11;26,00;1108;0;100200;"2";"×ÅÐ";"Ñ3";2;"5";"3";"29";"2";1431;30;;0;;;;;;;;;;;;;23;78298;0;;;1
39;21;1;"131802";2;"522";"14";"1";"21";12;42,00;1103;0;302600;"1À";"ÎÐ";"Ñ2";2;"63";"14";"35";"2";1425;40;;3375;"100200";;;;;;;;;;;;12;78299;0;;;1
40;21;1;"131802";2;"522";"14";"1";"21";13;5,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";4;"9";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78300;0;;;1
41;21;1;"131802";2;"522";"14";"1";"21";14;23,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";1;"6";"3";"29";"1";0;0;;0;;;;;;;;;;;;;23;78301;0;;;1
42;21;1;"131802";2;"522";"14";"1";"21";15;13,00;1101;0;302600;"2";"ÏÀÏ";"Ñ4";5;"23";"14";"35";"7";0;0;;0;;;;;;;;;;;;;31;78302;0;;;1
43;21;1;"131802";2;"522";"14";"1";"21";16;2,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";2;"2";"16";"37";"2";0;0;;0;;;;;;;;;;;;;31;78303;0;;;1
44;21;1;"131802";2;"522";"14";"1";"21";17;127,00;1108;0;100100;"1";"ÊÈÑ";"Ñ2";1;"38";"1";"29";"1";1425;15;;0;;;;;;;;;;;;;23;78304;0;;;1
45;21;1;"131802";2;"522";"14";"1";"21";18;4,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78305;0;;;1
46;21;1;"131802";2;"522";"14";"1";"21";19;2,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78306;0;;;1
47;21;1;"131802";2;"522";"14";"1";"21";20;1,00;1101;0;302600;"2";"ÏÀÏ";"Ñ4";5;"2";"14";"35";"7";0;0;;0;;;;;;;;;;;;;31;78307;0;;;1
48;21;1;"131802";2;"522";"14";"1";"21";21;4,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";2;"3";"16";"37";"2";0;0;;0;;;;;;;;;;;;;31;78308;0;;;1
49;21;1;"131802";3;"522";"14";"1";"21";1;14,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";2;"20";"14";"35";"2";0;0;;0;"100200";;;;;;;;;;;;23;78309;0;;;1
50;21;1;"131802";3;"522";"14";"1";"21";2;29,00;1103;0;302600;"1À";"ÊÈÑ";"Ä2";2;"30";"14";"35";"2";1425;35;;3375;"100200";;;;;;;;;;;;23;78310;0;;;1
51;21;1;"131802";3;"522";"14";"1";"21";3;27,00;1103;0;302600;"1";"ÊÈÑ";"Ä2";2;"19";"14";"35";"2";1425;30;;0;"100200";;;;;;;;;;;;23;78311;0;;;1
52;21;1;"131802";3;"522";"14";"1";"21";4;23,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";1;"21";"14";"35";"1";1411;20;;3375;"100200";;;;;;;;;;;;23;78312;0;;;1
53;21;1;"131802";3;"522";"14";"1";"21";5;7,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";2;"8";"15";"43";"2";0;0;;0;"100200";;;;;;;;;;;;23;78313;0;;;1
54;21;1;"131802";3;"522";"14";"1";"21";6;23,00;1108;0;202000;"2";"ÊÈÑ";"Ä2";1;"2";"6";"25";"1";0;0;;0;;;;;;;;;;;;;23;78314;0;;;1
55;21;1;"131802";3;"522";"14";"1";"21";7;27,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"57";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;23;78315;0;;;1
56;21;1;"131802";3;"522";"14";"1";"21";8;7,00;1509;0;100200;"1";"ÊÈÑ";"Ä2";0;;"3";"29";;0;0;;0;"100200";"2";"400";"150";"32";;;;;;;;23;78316;0;;;1
57;21;1;"131802";3;"522";"14";"1";"21";9;48,00;1101;0;302600;"1Á";"ÊÈÑ";"Ä2";3;"115";"14";"35";"4";0;0;;0;"100200";;;;;;;;;;;;23;78317;0;;;1
58;21;1;"131802";3;"522";"14";"1";"21";10;8,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";1;"2";"3";"29";"1";0;0;;0;;;;;;;;;;;;;23;78318;0;;;1
59;21;1;"131802";3;"522";"14";"1";"21";11;34,00;1103;0;304000;"1À";"ÊÈÑ";"Ä2";2;"54";"15";"43";"2";1431;40;;3375;"100200";;;;;;;;;;;;23;78319;0;;;1
60;21;1;"131802";3;"522";"14";"1";"21";12;26,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";2;"29";"15";"43";"2";1431;15;;0;"100200";;;;;;;;;;;;23;78320;0;;;1
61;21;1;"131802";3;"522";"14";"1";"21";13;23,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";6;"67";"15";"43";"5";1211;0;;3211;"100200";;;;;;;;;;;;23;78321;0;;;1
62;21;1;"131802";3;"522";"14";"1";"21";14;9,00;1101;403;302600;"1Á";"ÊÈÑ";"Ä2";4;"22";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78322;0;;;1
63;21;1;"131802";3;"522";"14";"1";"21";15;6,00;1108;403;100200;"1À";"ÊÈÑ";"Ä2";3;"20";"3";"29";"3";1621;0;"10";0;;;;;;;;;;"15";;;23;78323;0;;;1
64;21;1;"131802";3;"522";"14";"1";"21";16;8,00;1108;403;100200;"1";"ÊÈÑ";"Ä2";3;"23";"3";"29";"3";1435;20;;0;;;;;;;;;;;;;23;78324;0;;;1
65;21;1;"131802";3;"522";"14";"1";"21";17;3,00;1101;0;304110;"1";"ÊÈÑ";"Ä2";3;"4";"16";"37";"3";0;0;;0;"100200";;;;;;;;;;;;23;78325;0;;;1
66;21;1;"131802";3;"522";"14";"1";"21";18;2,00;1101;403;302600;"1À";"ÊÈÑ";"Ä2";4;"4";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78326;0;;;1
67;21;1;"131802";3;"522";"14";"1";"21";19;10,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";1;"3";"3";"29";"1";1425;15;;0;;;;;;;;;;;;;23;78327;0;;;1
68;21;1;"131802";3;"522";"14";"1";"21";20;2,00;2310;0;0;;;;0;;;;;1881;0;;0;;;;;;;;;;;;;0;78328;0;;;1
69;21;1;"131802";3;"522";"14";"1";"21";21;3,00;2305;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78329;0;;;1
70;21;1;"131802";4;"522";"14";"1";"21";1;19,00;1108;0;100200;"1";"ÎÐ";"Ñ2";1;"8";"3";"29";"1";0;0;;0;;;;;;;;;;;;;22;78330;0;;;1
71;21;1;"131802";4;"522";"14";"1";"21";2;12,00;1101;0;100100;"2";"×ÅÐ";"À3";6;"17";"1";"29";"6";1211;0;"5";3211;;;;;;;;;;;;;13;78331;0;;;1
72;21;1;"131802";4;"522";"14";"1";"21";3;45,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"14";"1";"29";"1";1425;30;;0;;;;;;;;;;;;;22;78332;0;;;1
73;21;1;"131802";4;"522";"14";"1";"21";4;4,00;1101;0;304110;"1";"ÊÈÑ";"Ä2";3;"5";"16";"37";"3";0;0;;0;"100200";;;;;;;;;;;;23;78333;0;;;1
74;21;1;"131802";4;"522";"14";"1";"21";5;5,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";2;"3";"14";"35";"2";0;0;;0;"100200";;;;;;;;;;;;23;78334;0;;;1
75;21;1;"131802";4;"522";"14";"1";"21";6;5,00;1101;0;304415;"1";"ÊÈÑ";"Ä2";4;"5";"20";"43";"3";0;0;;0;"202000";;;;;;;;;;;;28;78335;0;;;1
76;21;1;"131802";4;"522";"14";"1";"21";7;22,00;1108;0;100100;"1";"ÎÐ";"Â2";1;"9";"1";"29";"1";1425;25;;0;;;;;;;;;;;;;22;78336;0;;;1
77;21;1;"131802";4;"522";"14";"1";"21";8;10,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";2;"10";"15";"43";"2";1431;20;;0;"100200";;;;;;;;;;;;23;78337;0;;;1
78;21;1;"131802";4;"522";"14";"1";"21";9;26,00;1103;0;304000;"1À";"ÊÈÑ";"Ä2";5;"73";"15";"43";"4";0;0;;0;"100200";;;;;"1";;;;;;;23;78338;0;;;1
79;21;1;"131802";4;"522";"14";"1";"21";10;7,00;1108;0;100200;"1À";"ÊÈÑ";"Ä2";2;"19";"3";"29";"2";1431;20;;0;;;;;;;;;;;;;23;78339;0;;;1
80;21;1;"131802";4;"522";"14";"1";"21";11;3,00;1103;0;302600;"1À";"ÊÈÑ";"Ä2";3;"7";"14";"35";"4";1435;30;;3375;"100200";;;;;;;;;;;;23;78340;0;;;1
81;21;1;"131802";4;"522";"14";"1";"21";12;3,00;1101;0;302600;"1";"ÏÀÏ";"Ñ4";3;"4";"14";"35";"3";0;0;;0;;;;;;;;;;;;;31;78341;0;;;1
82;21;1;"131802";4;"522";"14";"1";"21";13;13,00;1108;0;202050;"1";"ÊÈÑ";"Ä2";3;"30";"6";"25";"3";0;0;;0;;;;;;;;;;;;;23;78342;0;;;1
83;21;1;"131802";4;"522";"14";"1";"21";14;8,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";4;"19";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78343;0;;;1
84;21;1;"131802";4;"522";"14";"1";"21";15;7,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";5;"17";"15";"43";"4";0;0;;0;"100200";;;;;;;;;;;;23;78344;0;;;1
85;21;1;"131802";4;"522";"14";"1";"21";16;11,00;1103;0;302600;"1À";"ÊÈÑ";"Ä2";3;"24";"14";"35";"4";1435;30;;3375;"100200";;;;;;;;;;;;23;78345;0;;;1
86;21;1;"131802";4;"522";"14";"1";"21";17;4,00;1108;0;202000;"1À";"ÊÈÑ";"Ä2";2;"7";"6";"25";"2";0;0;;0;;;;;;;;;;;;;23;78346;0;;;1
87;21;1;"131802";4;"522";"14";"1";"21";18;8,00;1103;0;304000;"1À";"ÊÈÑ";"Ä2";5;"18";"15";"43";"4";0;0;;0;"202000";;;;;;;;;;;;23;78347;0;;;1
88;21;1;"131802";4;"522";"14";"1";"21";19;4,00;1108;0;100200;"1À";"ÊÈÑ";"Ä2";2;"11";"3";"29";"2";0;0;;0;;;;;;;;;;;;;23;78348;0;;;1
89;21;1;"131802";4;"522";"14";"1";"21";20;22,00;1103;403;302600;"1À";"ÊÈÑ";"Ä2";3;"62";"14";"35";"4";1435;30;;3375;"100200";;;;;;;;;;;;23;78349;0;;;1
90;21;1;"131802";4;"522";"14";"1";"21";21;19,00;1101;403;304000;"1À";"ÊÈÑ";"Ä2";5;"51";"15";"43";"4";0;0;;0;"100200";;;;;;;;;;;;23;78350;0;;;1
91;21;1;"131802";4;"522";"14";"1";"21";22;6,00;1103;403;302600;"1À";"ÊÈÑ";"Ä2";3;"13";"14";"35";"4";1435;30;;3375;"202000";;;;;;;;;;;;23;78351;0;;;1
92;21;1;"131802";4;"522";"14";"1";"21";23;8,00;1101;403;202000;"3";"ÎÐ";"Ñ2";6;"10";"6";"25";"7";0;0;"20";0;;;;;;;;;;;;;23;78352;0;;;1
93;21;1;"131802";4;"522";"14";"1";"21";24;19,00;1101;403;302600;"1À";"ÊÈÑ";"Ä2";4;"44";"14";"35";"5";0;0;;0;"100200";;;;;;;;;;;;23;78353;0;;;1
94;21;1;"131802";4;"522";"14";"1";"21";25;4,00;1101;403;302600;"1";"ÊÈÑ";"Ä2";5;"9";"14";"35";"7";0;0;;0;"100200";;;;;;;;;;;;23;78354;0;;;1
95;21;1;"131802";4;"522";"14";"1";"21";26;4,00;1101;403;302600;"1À";"ÑÍ";"Ä3";3;"6";"14";"35";"3";0;0;;0;"100200";;;;;;;;;;;;24;78355;0;;;1
96;21;1;"131802";4;"522";"14";"1";"21";27;21,00;1510;0;100200;"1";"ÊÈÑ";"Ä2";0;;"3";"29";;3211;0;;0;"100200";;;;;;;;;;;;23;78356;0;;;1
97;21;1;"131802";4;"522";"14";"1";"21";28;3,00;1108;403;100200;"1À";"ÊÈÑ";"Ä2";2;"7";"3";"29";"2";0;0;;0;;;;;;;;;;;;;23;78357;0;;;1
98;21;1;"131802";4;"522";"14";"1";"21";29;5,00;2310;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78358;0;;;1
99;21;1;"131802";4;"522";"14";"1";"21";30;3,00;1101;0;302600;"1";"ÏÀÏ";"Ñ4";3;"4";"14";"35";"3";0;0;;0;;;;;;;;;;;;;31;78359;0;;;1
100;21;1;"131802";4;"522";"14";"1";"21";31;3,00;1101;0;304000;"1À";"ÊÈÑ";"Ñ2";5;"8";"15";"43";"4";0;0;;0;"100200";;;;;;;;;;;;23;78360;0;;;1
101;21;1;"131802";4;"522";"14";"1";"21";32;7,00;1108;0;100200;"1À";"ÊÈÑ";"Ä2";2;"19";"3";"29";"2";1431;20;;0;;;;;;;;;;;;;23;78361;0;;;1
102;21;1;"131802";4;"522";"14";"1";"21";33;6,00;1101;403;304000;"1À";"ÊÈÑ";"Ä2";5;"16";"15";"43";"4";0;0;;0;"100200";;;;;;;;;;;;23;78362;0;;;1
103;21;1;"131802";5;"522";"14";"1";"21";1;5,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";1;"2";"3";"29";"1";1425;15;;0;;;;;;;;;;;;;22;78363;0;;;1
104;21;1;"131802";5;"522";"14";"1";"21";2;30,00;1103;0;302600;"1À";"ÊÈÑ";"Ä2";2;"42";"14";"35";"2";1425;35;;3375;"100200";;;;;;;;;;;;23;78364;0;;;1
105;21;1;"131802";5;"522";"14";"1";"21";3;33,00;1103;0;304000;"1À";"ÊÈÑ";"Ä2";2;"49";"15";"43";"2";1431;40;;3375;"100200";;;;;;;;;;;;23;78365;0;;;1
106;21;1;"131802";5;"522";"14";"1";"21";4;3,00;1101;0;302600;"1";"ÏÀÏ";"Ñ4";5;"6";"14";"35";"7";0;0;;0;;;;;;;;;;;;;32;78366;0;;;1
107;21;1;"131802";5;"522";"14";"1";"21";5;7,00;1101;0;304110;"1";"ÊÐ";"Ä4";5;"22";"16";"37";"6";0;0;;0;;;;;;;;;;;;;32;78367;0;;;1
108;21;1;"131802";5;"522";"14";"1";"21";6;37,00;1201;0;100100;"1";"ÎÐ";"Â2";0;;"1";"29";;1411;30;;0;;;;;;;;;;;;;9;78368;0;;;1
109;21;1;"131802";5;"522";"14";"1";"21";7;4,00;1103;0;302600;"1À";"ÊÈÑ";"Ä2";4;"11";"14";"35";"5";1435;30;;0;"100200";;;;;;;;;;;;9;78369;0;;;1
110;21;1;"131802";5;"522";"14";"1";"21";8;24,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";2;"24";"14";"35";"2";0;0;;0;"100200";;;;;;;;;;;;12;78370;0;;;1
111;21;1;"131802";5;"522";"14";"1";"21";9;3,00;1101;0;302600;"1À";"ÎÐ";"Ñ2";4;"10";"14";"35";"6";1435;15;;0;"100200";;;;;;;;;;;;22;78371;0;;;1
112;21;1;"131802";5;"522";"14";"1";"21";10;12,00;1101;0;302600;"2";"ÎÑ";"Â5";5;"23";"14";"35";"7";0;0;;0;;;;;;;;;;;;;31;78372;0;;;1
113;21;1;"131802";5;"522";"14";"1";"21";11;3,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";1;"1";"15";"43";"1";0;0;;0;"100200";;;;;;;;;;;;9;78373;0;;;1
114;21;1;"131802";5;"522";"14";"1";"21";12;3,00;1101;0;202000;"1";"ÊÈÑ";"Ä2";3;"5";"6";"25";"3";0;0;;0;;;;;;;;;;;;;23;78374;0;;;1
115;21;1;"131802";5;"522";"14";"1";"21";13;53,00;1101;0;304000;"1";"×ÅÐ";"Ñ3";2;"42";"15";"43";"2";1431;15;;0;;;;;;;;;;;;;23;78375;0;;;1
116;21;1;"131802";5;"522";"14";"1";"21";14;7,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";3;"14";"3";"29";"3";0;0;;0;;;;;;;;;;;;;9;78376;0;;;1
117;21;1;"131802";5;"522";"14";"1";"21";15;12,00;1510;0;100200;"1";"ÊÈÑ";"Ä2";0;;"3";"29";;3211;0;;0;"100200";;;;;;;;;;;;23;78377;0;;;1
118;21;1;"131802";5;"522";"14";"1";"21";16;1,00;1101;0;304000;"1";"ÊÈÑ";"Ä2";1;;"15";"43";"1";0;0;;0;"100200";;;;;;;;;;;;23;78378;0;;;1
119;21;1;"131802";5;"522";"14";"1";"21";17;4,00;1101;0;304000;"1";"×ÅÐ";"Ñ3";5;"6";"15";"43";"4";0;0;;0;"100200";;;;;;;;;;;;23;78379;0;;;1
120;21;1;"131802";5;"522";"14";"1";"21";18;2,00;2111;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78380;0;;;1
121;21;1;"131802";5;"522";"14";"1";"21";19;15,00;1101;0;302600;"1";"ÊÈÑ";"Ä2";5;"39";"14";"35";"7";0;0;;0;"100200";;;;;;;;;;;;23;78381;0;;;1
122;21;1;"131802";5;"522";"14";"1";"21";20;8,00;1108;0;100200;"1";"ÊÈÑ";"Ä2";1;"1";"3";"29";"1";0;0;;0;;;;;;;;;;;;;23;78382;0;;;1
123;21;1;"131802";5;"522";"14";"1";"21";21;5,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";2;"5";"14";"35";"2";0;0;;0;"100200";;;;;;;;;;;;23;78383;0;;;1
124;21;1;"131802";5;"522";"14";"1";"21";22;13,00;1108;0;100200;"1";"ÎÐ";"Ñ2";2;"12";"3";"29";"2";0;0;;0;;;;;;;;;;;;;23;78384;0;;;1
125;21;1;"131802";5;"522";"14";"1";"21";23;22,00;1101;0;304000;"1À";"ÊÈÑ";"Ä2";1;"11";"15";"43";"1";0;0;;0;"100200";;;;;;;;;;;;23;78385;0;;;1
126;21;1;"131802";5;"522";"14";"1";"21";24;10,00;1201;0;100100;"1";"ÊÈÑ";"Ñ2";0;;"1";"29";;1411;30;;3282;;;;;;;;;;;;;23;78386;0;;;1
127;21;1;"131802";5;"522";"14";"1";"21";25;3,00;1101;0;100200;"1";"ÎÐ";"Ñ2";2;"3";"3";"29";"2";0;0;;0;;;;;;;;;;;;;9;78387;0;;;1
128;21;1;"131802";5;"522";"14";"1";"21";26;3,00;1101;0;302600;"1À";"ÊÈÑ";"Ä2";3;"5";"14";"35";"3";0;0;;0;"100200";;;;;;;;;;;;23;78388;0;;;1
129;21;1;"131802";5;"522";"14";"1";"21";27;2,00;1101;0;304110;"1";"ÏÀÏ";"Ñ4";3;"3";"16";"37";"3";0;0;;0;;;;;;;;;;;;;31;78389;0;;;1
130;21;1;"131802";5;"522";"14";"1";"21";28;7,00;1101;403;100200;"1";"ÎÐ";"Ñ2";2;"7";"3";"29";"2";0;0;;0;;;;;;;;;;;;;9;78390;0;;;1
131;21;1;"131802";5;"522";"14";"1";"21";29;11,00;2111;0;0;;;;0;;;;;0;0;;0;;;;;;;;;;;;;0;78391;0;;;1
